date,area,area_type,population,cases,cumulative_cases,reported_cases,cumulative_reported_cases,probable_cases,cumulative_probable_cases,report_prob,agency,avg_7,avg_per_100,sum_7,sum_per_100
2021-10-11,Monterey,County,448732,29,48118,13,47241,1,2692,14,case,23.428571428571427,5.39752970862884,164,37.78270796040188
2021-10-11,Monterey,County,448732,29,48118,13,47241,1,2692,14,cdc,31.428571428571427,7.2405886335264915,220,50.68412043468545
2021-10-12,Monterey,County,448732,29,48147,13,47254,7,2699,20,case,24.571428571428573,5.660823840757076,172,39.62576688529953
2021-10-12,Monterey,County,448732,29,48147,13,47254,7,2699,20,cdc,29.142857142857142,6.714000369270019,204,46.99800258489014
2021-10-13,Monterey,County,448732,31,48178,19,47273,8,2707,27,case,26.571428571428573,6.121588571981489,186,42.85112000387043
2021-10-13,Monterey,County,448732,31,48178,19,47273,8,2707,27,cdc,24.571428571428573,5.660823840757076,172,39.62576688529953
2021-10-14,Monterey,County,448732,19,48197,20,47293,7,2714,27,case,24.571428571428573,5.660823840757076,172,39.62576688529953
2021-10-14,Monterey,County,448732,19,48197,20,47293,7,2714,27,cdc,23.142857142857142,5.331706175596781,162,37.321943229177464
2021-10-15,Monterey,County,448732,26,48223,0,47293,5,2719,5,case,24.714285714285715,5.693735607273106,173,39.85614925091174
2021-10-15,Monterey,County,448732,26,48223,0,47293,5,2719,5,cdc,22.571428571428573,5.200059109532663,158,36.40041376672864
2021-10-16,Monterey,County,448732,22,48245,0,47293,2,2721,2,case,24,5.529176774692957,168,38.7042374228507
2021-10-16,Monterey,County,448732,22,48245,0,47293,2,2721,2,cdc,22.571428571428573,5.200059109532663,158,36.40041376672864
2021-10-17,Monterey,County,448732,17,48262,76,47369,8,2729,84,case,24.714285714285715,5.693735607273106,173,39.85614925091174
2021-10-17,Monterey,County,448732,17,48262,76,47369,8,2729,84,cdc,25.571428571428573,5.891206206369283,179,41.23844344458497
2021-10-18,Monterey,County,448732,41,48303,20,47389,10,2739,30,case,26.428571428571427,6.088676805465459,185,42.62073763825822
2021-10-18,Monterey,County,448732,41,48303,20,47389,10,2739,30,cdc,27.857142857142858,6.417794470625755,195,44.92456129438028
2021-10-19,Monterey,County,448732,22,48325,23,47412,5,2744,28,case,25.428571428571427,5.858294439853252,178,41.00806107897277
2021-10-19,Monterey,County,448732,22,48325,23,47412,5,2744,28,cdc,29,6.681088602753991,203,46.76762021927794
2021-10-20,Monterey,County,448732,37,48362,18,47430,11,2755,29,case,26.285714285714285,6.0557650389494295,184,42.390355272646005
2021-10-20,Monterey,County,448732,37,48362,18,47430,11,2755,29,cdc,29.285714285714285,6.74691213578605,205,47.22838495050235
2021-10-21,Monterey,County,448732,32,48394,26,47456,9,2764,35,case,28.142857142857142,6.4836180036578135,197,45.3853260256047
2021-10-21,Monterey,County,448732,32,48394,26,47456,9,2764,35,cdc,30.428571428571427,7.010206267914286,213,49.0714438754
2021-10-22,Monterey,County,448732,34,48428,0,47456,11,2775,11,case,29.285714285714285,6.74691213578605,205,47.22838495050235
2021-10-22,Monterey,County,448732,34,48428,0,47456,11,2775,11,cdc,31.285714285714285,7.207676867010463,219,50.45373806907324
2021-10-23,Monterey,County,448732,33,48461,0,47456,2,2777,2,case,30.857142857142858,7.108941567462375,216,49.76259097223662
2021-10-23,Monterey,County,448732,33,48461,0,47456,2,2777,2,cdc,31.285714285714285,7.207676867010463,219,50.45373806907324
2021-10-24,Monterey,County,448732,17,48478,0,47456,4,2781,4,case,30.857142857142858,7.108941567462375,216,49.76259097223662
2021-10-24,Monterey,County,448732,17,48478,0,47456,4,2781,4,cdc,19.857142857142858,4.574735545728102,139,32.023148820096715
